version:v1.0,,,,,,,,,,,,,,,,
Name (example: Chris Green) [displayName] *,User name (example: chris@contoso.com) [userPrincipalName] *,Initial password [passwordProfile] *,Block sign in (Yes/No) [accountEnabled] *,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Trudie Mosciski,mosciskit@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Trudie,Mosciski,,,,,,,,,,,
Hector Runte,runteh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hector,Runte,,,,,,,,,,,
Stacey Dooley,dooleys@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Stacey,Dooley,,,,,,,,,,,
Dejuan Homenick,homenickd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dejuan,Homenick,,,,,,,,,,,
Clement Barrows,barrowsc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Clement,Barrows,,,,,,,,,,,
Destany Moen,moend@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Destany,Moen,,,,,,,,,,,
Carmel Collins,collinsc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Carmel,Collins,,,,,,,,,,,
Emmy Mann,manne@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Emmy,Mann,,,,,,,,,,,
Doyle Hansen,hansend@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Doyle,Hansen,,,,,,,,,,,
Kasey Feeney,feeneyk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kasey,Feeney,,,,,,,,,,,
Christophe Rolfson,rolfsonc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Christophe,Rolfson,,,,,,,,,,,
Berta Runolfsdottir,runolfsdottirb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Berta,Runolfsdottir,,,,,,,,,,,
Chelsey Anderson,andersonc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Chelsey,Anderson,,,,,,,,,,,
Aliyah Sipes,sipesa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Aliyah,Sipes,,,,,,,,,,,
Myron Fadel,fadelm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Myron,Fadel,,,,,,,,,,,
Elise West,weste@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elise,West,,,,,,,,,,,
Carlo Bednar,bednarc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Carlo,Bednar,,,,,,,,,,,
Era Franecki,franeckie@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Era,Franecki,,,,,,,,,,,
Hettie Ankunding,ankundingh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hettie,Ankunding,,,,,,,,,,,
Brionna Schroeder,schroederb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Brionna,Schroeder,,,,,,,,,,,
Celine Dare,darec@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Celine,Dare,,,,,,,,,,,
Elise Abbott,abbotte@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elise,Abbott,,,,,,,,,,,
Sheridan Klocko,klockos@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Sheridan,Klocko,,,,,,,,,,,
Lonny Kautzer,kautzerl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lonny,Kautzer,,,,,,,,,,,
Abdiel Erdman,erdmana@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Abdiel,Erdman,,,,,,,,,,,
Olen Schimmel,schimmelo@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Olen,Schimmel,,,,,,,,,,,
Nick Rowe,rowen@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Nick,Rowe,,,,,,,,,,,
Grace Anderson,andersong@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Grace,Anderson,,,,,,,,,,,
William Schowalter,schowalterw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,William,Schowalter,,,,,,,,,,,
Addie Turcotte,turcottea@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Addie,Turcotte,,,,,,,,,,,
Zakary Walter,walterz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zakary,Walter,,,,,,,,,,,
Alfonzo Adams,adamsa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alfonzo,Adams,,,,,,,,,,,
Mikel Crona,cronam@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mikel,Crona,,,,,,,,,,,
Edwardo Kunze,kunzee@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Edwardo,Kunze,,,,,,,,,,,
Mckenna Satterfield,satterfieldm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mckenna,Satterfield,,,,,,,,,,,
Lura Jakubowski,jakubowskil@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lura,Jakubowski,,,,,,,,,,,
Gerardo Rath,rathg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Gerardo,Rath,,,,,,,,,,,
Astrid Wiegand,wieganda@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Astrid,Wiegand,,,,,,,,,,,
Marquis Baumbach,baumbachm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marquis,Baumbach,,,,,,,,,,,
Ike Blanda,blandai@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ike,Blanda,,,,,,,,,,,
Anjali Gorczany,gorczanya@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Anjali,Gorczany,,,,,,,,,,,
Jarrod Larkin,larkinj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jarrod,Larkin,,,,,,,,,,,
Cordell Okuneva,okunevac@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cordell,Okuneva,,,,,,,,,,,
Jordan Corkery,corkeryj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jordan,Corkery,,,,,,,,,,,
Rosemary OReilly,oreillyr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rosemary,OReilly,,,,,,,,,,,
Harold Torp,torph@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Harold,Torp,,,,,,,,,,,
Daniela White,whited@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Daniela,White,,,,,,,,,,,
Daryl Prohaska,prohaskad@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Daryl,Prohaska,,,,,,,,,,,
Benny Davis,davisb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Benny,Davis,,,,,,,,,,,
Candace Ernser,ernserc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Candace,Ernser,,,,,,,,,,,
Jerod Crist,cristj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jerod,Crist,,,,,,,,,,,
Coy Hansen,hansenc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Coy,Hansen,,,,,,,,,,,
Johathan Walker,walkerj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Johathan,Walker,,,,,,,,,,,
Leila Hane,hanel@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Leila,Hane,,,,,,,,,,,
Hailie Mayert,mayerth@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Hailie,Mayert,,,,,,,,,,,
Elisabeth Schmeler,schmelere@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Elisabeth,Schmeler,,,,,,,,,,,
Sylvan Mayer,mayers@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Sylvan,Mayer,,,,,,,,,,,
Modesto Larkin,larkinm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Modesto,Larkin,,,,,,,,,,,
Valentine Donnelly,donnellyv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Valentine,Donnelly,,,,,,,,,,,
Kole Klein,kleink@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kole,Klein,,,,,,,,,,,
Delta Funk,funkd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Delta,Funk,,,,,,,,,,,
Katarina Hodkiewicz,hodkiewiczk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Katarina,Hodkiewicz,,,,,,,,,,,
Waino Ruecker,rueckerw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Waino,Ruecker,,,,,,,,,,,
Cortez Rau,rauc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cortez,Rau,,,,,,,,,,,
Viva Bechtelar,bechtelarv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Viva,Bechtelar,,,,,,,,,,,
Giovanna Hudson,hudsong@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Giovanna,Hudson,,,,,,,,,,,
Everett Batz,batze@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Everett,Batz,,,,,,,,,,,
Janick Barton,bartonj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Janick,Barton,,,,,,,,,,,
Orpha Anderson,andersono@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Orpha,Anderson,,,,,,,,,,,
Howard Gutmann,gutmannh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Howard,Gutmann,,,,,,,,,,,
Kara Zemlak,zemlakk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kara,Zemlak,,,,,,,,,,,
Wilfred Hamill,hamillw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Wilfred,Hamill,,,,,,,,,,,
Nat Spencer,spencern@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Nat,Spencer,,,,,,,,,,,
Judson Prohaska,prohaskaj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Judson,Prohaska,,,,,,,,,,,
Ottilie Lockman,lockmano@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ottilie,Lockman,,,,,,,,,,,
Camilla Turner,turnerc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Camilla,Turner,,,,,,,,,,,
Lonie Wolff,wolffl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lonie,Wolff,,,,,,,,,,,
Shane Kautzer,kautzers@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Shane,Kautzer,,,,,,,,,,,
Alysson Renner,rennera@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alysson,Renner,,,,,,,,,,,
Jodie Glover,gloverj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jodie,Glover,,,,,,,,,,,
Mark Purdy,purdym@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mark,Purdy,,,,,,,,,,,
Kaley Schiller,schillerk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kaley,Schiller,,,,,,,,,,,
Emmitt Steuber,steubere@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Emmitt,Steuber,,,,,,,,,,,
Lavon Shanahan,shanahanl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lavon,Shanahan,,,,,,,,,,,
Ben Kautzer,kautzerb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ben,Kautzer,,,,,,,,,,,
Andre Kshlerin,kshlerina@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Andre,Kshlerin,,,,,,,,,,,
Dayna Buckridge,buckridged@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dayna,Buckridge,,,,,,,,,,,
Katelin Krajcik,krajcikk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Katelin,Krajcik,,,,,,,,,,,
Reynold Pacocha,pacochar@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Reynold,Pacocha,,,,,,,,,,,
Frankie Rowe,rowef@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Frankie,Rowe,,,,,,,,,,,
Dovie Price,priced@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dovie,Price,,,,,,,,,,,
Vernie Heathcote,heathcotev@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Vernie,Heathcote,,,,,,,,,,,
Amara VonRueden,vonruedena@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Amara,VonRueden,,,,,,,,,,,
Krystel Tremblay,tremblayk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Krystel,Tremblay,,,,,,,,,,,
Laisha Reichel,reichell@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Laisha,Reichel,,,,,,,,,,,
Archibald Conn,conna@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Archibald,Conn,,,,,,,,,,,
Jules Dibbert,dibbertj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jules,Dibbert,,,,,,,,,,,
Rodger Effertz,effertzr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Rodger,Effertz,,,,,,,,,,,
Wava Fahey,faheyw@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Wava,Fahey,,,,,,,,,,,
Darrion Dicki,dickid@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Darrion,Dicki,,,,,,,,,,,
Retta Heller,hellerr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Retta,Heller,,,,,,,,,,,
Garland Cartwright,cartwrightg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Garland,Cartwright,,,,,,,,,,,
Laverne Lueilwitz,lueilwitzl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Laverne,Lueilwitz,,,,,,,,,,,
Bryce Walter,walterb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Bryce,Walter,,,,,,,,,,,
Bailey Spencer,spencerb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Bailey,Spencer,,,,,,,,,,,
Mavis Kling,klingm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Mavis,Kling,,,,,,,,,,,
Toy Rath,ratht@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Toy,Rath,,,,,,,,,,,
Coty Lubowitz,lubowitzc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Coty,Lubowitz,,,,,,,,,,,
Zena Raynor,raynorz@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Zena,Raynor,,,,,,,,,,,
Tre Paucek,paucekt@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tre,Paucek,,,,,,,,,,,
Blanca Goodwin,goodwinb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Blanca,Goodwin,,,,,,,,,,,
Lucienne Macejkovic,macejkovicl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lucienne,Macejkovic,,,,,,,,,,,
Davon Huels,huelsd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Davon,Huels,,,,,,,,,,,
Conner Gulgowski,gulgowskic@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Conner,Gulgowski,,,,,,,,,,,
Noemy Dickens,dickensn@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Noemy,Dickens,,,,,,,,,,,
Meagan Leffler,lefflerm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Meagan,Leffler,,,,,,,,,,,
Dwight Witting,wittingd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dwight,Witting,,,,,,,,,,,
Tyson Schmeler,schmelert@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Tyson,Schmeler,,,,,,,,,,,
Boyd Ledner,lednerb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Boyd,Ledner,,,,,,,,,,,
Jessika Bernier,bernierj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jessika,Bernier,,,,,,,,,,,
Abbie Lang,langa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Abbie,Lang,,,,,,,,,,,
Chanelle Bartell,bartellc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Chanelle,Bartell,,,,,,,,,,,
Payton Mueller,muellerp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Payton,Mueller,,,,,,,,,,,
Lela MacGyver,macgyverl@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lela,MacGyver,,,,,,,,,,,
Katharina Kiehn,kiehnk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Katharina,Kiehn,,,,,,,,,,,
Marty Klocko,klockom@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marty,Klocko,,,,,,,,,,,
Dedrick Monahan,monahand@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dedrick,Monahan,,,,,,,,,,,
Lilliana Bergstrom,bergstroml@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Lilliana,Bergstrom,,,,,,,,,,,
Princess Beahan,beahanp@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Princess,Beahan,,,,,,,,,,,
Jaylin Spencer,spencerj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jaylin,Spencer,,,,,,,,,,,
Emma Ferry,ferrye@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Emma,Ferry,,,,,,,,,,,
Claud Volkman,volkmanc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Claud,Volkman,,,,,,,,,,,
Marisa Breitenberg,breitenbergm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Marisa,Breitenberg,,,,,,,,,,,
John Reilly,reillyj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,John,Reilly,,,,,,,,,,,
Ibrahim Mertz,mertzi@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ibrahim,Mertz,,,,,,,,,,,
Etha Moen,moene@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Etha,Moen,,,,,,,,,,,
Alexane OHara,oharaa@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alexane,OHara,,,,,,,,,,,
Kenneth Turcotte,turcottek@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kenneth,Turcotte,,,,,,,,,,,
Jamir Conn,connj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jamir,Conn,,,,,,,,,,,
Dominic Wyman,wymand@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dominic,Wyman,,,,,,,,,,,
Blanca Cronin,croninb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Blanca,Cronin,,,,,,,,,,,
Enrico Lueilwitz,lueilwitze@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Enrico,Lueilwitz,,,,,,,,,,,
Triston Roob,roobt@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Triston,Roob,,,,,,,,,,,
Genoveva Murphy,murphyg@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Genoveva,Murphy,,,,,,,,,,,
Favian OHara,oharaf@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Favian,OHara,,,,,,,,,,,
Era Wiegand,wiegande@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Era,Wiegand,,,,,,,,,,,
Ethelyn Aufderhar,aufderhare@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ethelyn,Aufderhar,,,,,,,,,,,
Connor Jacobs,jacobsc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Connor,Jacobs,,,,,,,,,,,
Sadie Stiedemann,stiedemanns@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Sadie,Stiedemann,,,,,,,,,,,
Velda Beahan,beahanv@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Velda,Beahan,,,,,,,,,,,
Addie Pfeffer,pfeffera@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Addie,Pfeffer,,,,,,,,,,,
Buddy Kling,klingb@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Buddy,Kling,,,,,,,,,,,
Josephine Eichmann,eichmannj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Josephine,Eichmann,,,,,,,,,,,
Ines Skiles,skilesi@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ines,Skiles,,,,,,,,,,,
Joshuah Rogahn,rogahnj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Joshuah,Rogahn,,,,,,,,,,,
Macey Mueller,muellerm@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Macey,Mueller,,,,,,,,,,,
Jaleel Dicki,dickij@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jaleel,Dicki,,,,,,,,,,,
Keven Gislason,gislasonk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Keven,Gislason,,,,,,,,,,,
Obie Witting,wittingo@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Obie,Witting,,,,,,,,,,,
Sandy Hamill,hamills@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Sandy,Hamill,,,,,,,,,,,
Dillan Wolf,wolfd@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Dillan,Wolf,,,,,,,,,,,
Kayden Effertz,effertzk@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Kayden,Effertz,,,,,,,,,,,
Jarret Tremblay,tremblayj@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Jarret,Tremblay,,,,,,,,,,,
Steve Vandervort,vandervorts@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Steve,Vandervort,,,,,,,,,,,
Trevor Gusikowski,gusikowskit@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Trevor,Gusikowski,,,,,,,,,,,
Selmer Kassulke,kassulkes@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Selmer,Kassulke,,,,,,,,,,,
Alessia McCullough,mccullougha@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Alessia,McCullough,,,,,,,,,,,
Ruthe Ortiz,ortizr@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Ruthe,Ortiz,,,,,,,,,,,
Laurel Towne,townel@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Laurel,Towne,,,,,,,,,,,
Cassidy Wisoky,wisokyc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Cassidy,Wisoky,,,,,,,,,,,
Humberto Hettinger,hettingerh@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Humberto,Hettinger,,,,,,,,,,,
Caesar Beatty,beattyc@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Caesar,Beatty,,,,,,,,,,,
Chaz DuBuque,dubuquec@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Chaz,DuBuque,,,,,,,,,,,
Araceli OKeefe,okeefea@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Araceli,OKeefe,,,,,,,,,,,
Darrel Larkin,larkind@teamturtle319outlook.onmicrosoft.com,C#Javascript,No,Darrel,Larkin,,,,,,,,,,,
